Key,FontSize,,,,"X,Y",,,,,
Key,FontSize,outline,outColor,Color,VerifyLocal,FaceTexture2D,characterSpacing,ID_OutlineSoftness,ID_FaceDilate,
Login_Play,48,0.18,15-111-2,255-255-255,0|3,,3,0,0.3,Play
WinUITitle,48,0,0-0-0,255-255-255,0|0,,0,0,0.05,
WinUILevelScoreText,50,0,0-0-0,153-72-1,0|0,,0,0,0.05,
WinUINext,48,0.18,15-111-2,255-255-255,0|0,,3,0,0.3,
WinUIShare,48,0.18,13-90-173,255-255-255,0|0,,3,0,0.3,
MapSetPanelCon,48,0.18,13-90-173,255-255-255,5|2,,0,0,0.3,
MapSetPanelOut,48,0.18,13-90-173,255-255-255,0|0,,0,0,0.3,
MailPanelCon,48,0.18,13-90-173,255-255-255,20|0,,0,0,0.3,
MailPanelConRemark,40,0,0-0-0,255-255-255,0|0,,0,0,0,
MailNullRemark,40,0,0-0-0,255-255-255,0|0,,0,0,0,
InviteBtnText,26,0.18,108-42-164,255-255-255,0|0,,0,0,0.3,
PauseUICon,48,0.18,13-90-173,255-255-255,0|0,,0,0,0.3,
PauseUIOut,48,0.18,13-90-173,255-255-255,0|0,,0,0,0.3,
PauseUIQuitLevel,48,0.18,15-111-2,255-255-255,0|0,,0,0,0.2,
PauseUITitle,48,0.18,141-50-4,255-226-109,-23|0,,3,0,0.2,
PauseUIFaceBookConAwardText,22,0.18,148-67-14,255-246-0,0|-5,,0,0,0.3,
PlayUIFaceBookConAwardText,22,0.18,148-67-14,255-246-0,0|-5,,0,0,0.3,Play
LoginUIFaceBookConAwardText,22,0.18,148-67-14,255-246-0,0|-5,,0,0,0.3,Login
LoseUIFaceBookConAwardText,22,0.18,148-67-14,255-246-0,0|-5,,0,0,0.3,
WinUIFaceBookConAwardText,22,0.18,148-67-14,255-246-0,0|-5,,0,0,0.3,
SetMapUITitle,48,0.18,141-50-4,255-226-109,0|0,,4,0,0.25,
SetSetPanelTitle,48,0.18,141-50-4,255-226-109,-12|-8,,3,0,0.25,
SetMailPanelTitle,48,0.18,141-50-4,255-226-109,6|-4,,3,0,0.25,
YunRemark,30,0.18,24-87-150,255-255-255,0|0,,0,0,0.3,
KillBubble1,72,0.26,255-255-255,255-255-255|19-255-0|2-64-0,1|1,1,0,0,0,
KillBubble2,72,0.26,255-255-255,255-255-255|255-54-196|142-0-186,1|1,2,0,0,0,
KillBubble3,40,0.26,255-255-255,255-255-255|255-161-0|238-0-27,1|1,3,0,0,0,
KillBubble4,40,0.26,255-255-255,255-255-255|255-161-0|238-0-27,1|1,3,0,0,0,
KillBubble5,44,0.26,255-255-255,255-255-255|228-0-255|116-0-218,1|1,4,0,0,0,
KillBubble6,44,0.26,255-255-255,255-255-255|255-92-251|53-0-218,1|1,5,0,0,0,
KillBubble7,40,0.26,255-255-255,255-255-255|0-181-255|0-34-197,1|1,6,0,0,0,
KillBubble8,40,0.26,255-255-255,255-255-255|27-255-8|57-118-0,1|1,7,0,0,0,
KillBubble9,64,0.26,255-255-255,255-255-255|38-211-255|135-0-223,1|1,8,0,0,0,
KillBubble10,48,0.26,255-255-255,255-255-255|247-255-0|233-82-0,1|1,9,0,0,0,
LoveFull,36,0.18,97-30-4,250-237-66,0|5,,0,0,0.3,Love
Loading,28,0,0-0-0,165-73-6,0|0,,0,0,0,Loading
ComboText,32,0.18,126-12-20,255-238-94,0|-6,,1,0,0.2,ComboText
InviteFriendsUITitle,40,0.18,108-42-164,255-255-255,0|5,,4,0,0.3,Invite Friends
InviteFriendsUIRemark,28,0,0-0-0,165-73-6,0|0,,0,0,0,Invite Friends
InviteFriendsUINumber,30,0,0-0-0,165-73-6,0|0,,0,0,0,Invite Friends
InviteFriendsUIBtn,48,0.18,15-111-2,255-255-255,0|0,,0,0,0,Invite Friends
MapSetFaceBookConAwardText,22,0.18,148-67-14,255-246-0,0|-5,,0,0,0.3,
MapMailFaceBookConAwardText,22,0.18,148-67-14,255-246-0,0|-5,,0,0,0.3,Mail
BubbleBuyTipText,28,0.18,126-12-20,255-238-94,0|0,,1,0,0.2,
SetUILanguage,48,0.18,15-111-2,255-255-255,-25|3,,3,0,0.3,
SetUILanguageChinese,44,0.38,15-111-2,255-255-255,0|0,,4,0,0.5,
SetUILanguageJapanese,44,0.38,15-111-2,255-255-255,0|0,,4,0,0.5,
SetUILanguageKorean,44,0.38,15-111-2,255-255-255,0|0,,4,0,0.5,
SetUILanguageEnglish,44,0.38,15-111-2,255-255-255,0|0,,4,0,0.5,
SetUILanguageFrench,44,0.38,15-111-2,255-255-255,0|0,,4,0,0.5,
SetUILanguageThai,44,0.38,15-111-2,255-255-255,0|0,,4,0,0.5,
SetUILanguageRussian,44,0.38,15-111-2,255-255-255,0|0,,4,0,0.5,
SetUILanguageGerman,44,0.38,15-111-2,255-255-255,0|0,,4,0,0.5,
SetUILanguagePortuguese,44,0.38,15-111-2,255-255-255,0|0,,4,0,0.5,
SetUILanguageSpanish,44,0.38,15-111-2,255-255-255,0|0,,4,0,0.5,
BuyGoldUIByDiamondsTitle,40,0.18,108-42-164,255-255-255,0|5,,4,0,0.25,
FirstPacksTitle,40,0.18,108-42-164,255-255-255,0|5,,4,0,0.25,
FirstPacksBtn,48,0.18,15-111-2,255-255-255,0|3,,3,0,0.25,
NovicepacksUITitle,40,0.18,108-42-164,255-255-255,0|5,,4,0,0.25,
ChinaShopUITitle,40,0.18,108-42-164,255-255-255,0|5,,4,0,0.25,
ChinaShopUIlibao,30,0.18,15-111-2,255-255-255,0|3,,3,0,0.25,
ChinaShopUIdaoju,30,0.18,15-111-2,255-255-255,0|3,,3,0,0.25,
SigninUITitle,40,0.18,108-42-164,255-255-255,0|5,,4,0,0.25,
SigninUIBtn,48,0.18,14-77-20,255-255-255,0|5,,4,0,0.25,
SigninUIBCount,20,0.18,255-255-255,169-85-23,0|3,,3,0,0.25,
SigninUIBuqian,48,0.18,3-148-201,255-255-255,0|3,,2.2,0,0.25,
cdkeyUITtitle,40,0.18,108-42-164,255-255-255,0|5,,4,0,0.25,
cdkeyUIRemarkTtitle,40,0.18,108-42-164,255-255-255,0|5,,4,0,0.25,
cdkeyUIRemarkText,48,0.18,15-111-2,255-255-255,0|3,,3,0,0.25,
cdkeyUIButtonText,30,0.18,15-111-2,255-255-255,0|3,,3,0,0.25,
cdkeyEnterRemark,48,0.18,15-111-2,255-255-255,0|3,,3,0,0.25,
UnSkillRemark1,20,0,0-0-0,160-81-10,0|0,,0,0,0.15,
UnSkillRemark2,20,0,0-0-0,160-81-10,0|0,,0,0,0.15,
UnSkillRemark3,20,0,0-0-0,160-81-10,0|0,,0,0,0.15,
PauseUIResStartText,48,0.18,15-111-2,255-255-255,0|3,,3,0,0.25,
CdkeyErrorText1,22,0.18,15-111-2,255-255-255,0|0,,3,0,0.25,
CdkeyErrorText2,22,0.18,15-111-2,255-255-255,0|0,,3,0,0.25,
CdkeyRewardOKbtn,22,0.18,15-111-2,255-255-255,0|0,,3,0,0.25,
BuyGoldSongText,22,0.18,255-255-255,255-0-0,0|0,,3,0,0.25,
Reward24UITitle,40,0.18,108-42-164,255-255-255,0|5,,4,0,0.25,24
LotteryUITextTitle,48,0.18,15-111-2,255-255-255,0|3,,3,0,0.25,24
LotteryUITextTitle1,48,0.18,15-111-2,255-255-255,0|3,,3,0,0.25,24
LotteryUITextTime,48,0.18,15-111-2,255-255-255,0|3,,3,0,0.25,24
LotteryUIIconText1,48,0.18,15-111-2,255-255-255,0|3,,3,0,0.25,24
LotteryUIIconText2,48,0.18,15-111-2,255-255-255,0|3,,3,0,0.25,24
LotteryUIIconText3,48,0.18,15-111-2,255-255-255,0|3,,3,0,0.25,24
LotteryUIIconText4,48,0.18,15-111-2,255-255-255,0|3,,3,0,0.25,24
LotteryUIIconText5,48,0.18,15-111-2,255-255-255,0|3,,3,0,0.25,24
LotteryUIIconText6,48,0.18,15-111-2,255-255-255,0|3,,3,0,0.25,24
LotteryUIIconText7,48,0.18,15-111-2,255-255-255,0|3,,3,0,0.25,24
LotteryUIIconText8,48,0.18,15-111-2,255-255-255,0|3,,3,0,0.25,24
LotteryUIBtnText,22,0.18,15-111-2,255-255-255,0|3,,3,0,0.25,24
LotteryUIBtnText1,22,0.18,15-111-2,255-255-255,0|3,,3,0,0.25,24
